"colecao","colecao.abrev","nº.tombo","classificacao","filo","familia","genero","especie","sub..especie","nome.popular","status.de.conservacao","pais","estado","municipio","localidade","latitude.decimal","longetude.decimal","datum","dominio.fitogeografico","tipo.de.vegetacao","tipo.de.substrato","forma.de.crescimento","caracterizacao","endemismo","dia","mes","ano","observacao","link/referencia"
"1","Herbário da Universidade de Brasília","UB","190324","Briófita","Bryophyta","Bryaceae (Briófita)","Bryum","apiculatum Schwägr.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84","Amazônia, Cerrado, Mata Atlântica","Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Decidual, Floresta Ombrófila (Floresta Pluvial)","Rupícola, Terrícola","Tufo","Nativa","Não endêmica do Brasil","6","8","2011",NA,NA
"2","Herbário da Universidade de Brasília","UB","190334","Briófita","Bryophyta","Bryaceae (Briófita)","Bryum","capillare Hedw.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84","Cerrado, Mata Atlântica","Cerrado (lato sensu), Floresta Ombrófila (Floresta Pluvial)","Epixila, Rupícola, Terrícola","Coxim, Tufo","Nativa","Não endêmica do Brasil","6","8","2011",NA,NA
"3","Herbário da Universidade de Brasília","UB","190322","Briófita","Bryophyta","Bryaceae (Briófita)","Bryum","capillare Hedw.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84","Cerrado, Mata Atlântica","Cerrado (lato sensu), Floresta Ombrófila (Floresta Pluvial)","Epixila, Rupícola, Terrícola","Coxim, Tufo","Nativa","Não endêmica do Brasil","6","8","2011",NA,NA
"4","Herbário da Universidade de Brasília","UB","190335","Briófita","Bryophyta","Bryaceae (Briófita)","Bryum","paradoxum Schwägr",NA,NA,NA,NA,NA,NA,"Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84",NA,NA,NA,NA,NA,NA,"6","8","2011","Planta com problemas nomenclaturais",NA
"5","Herbário da Universidade de Brasília","UB","190331","Briófita","Bryophyta","Bryaceae (Briófita)","Bryum","subapiculatum Hampe",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84","Amazônia, Cerrado, Mata Atlântica, Pampa","Campo Rupestre, Cerrado (lato sensu), Floresta Ombrófila (Floresta Pluvial)","Corticícola, Epixila, Rupícola, Terrícola","Tufo","Nativa","É endêmica do Brasil","6","8","2011","Primeira ocorrência para o Ceará, e Nordeste. Só ocorre no Sudeste e Sul.",NA
"6","Herbário da Universidade de Brasília","UB","190330","Briófita","Bryophyta","Calymperaceae (Briófita)","Octoblepharum","albidum Hedw.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Parque Botânico do Ceará. Rodovia CE-090 cerca de 16 km do centro de Fortaleza. Trilhas prinicipais e secundárias do Parque até o espelho d'água.","-3.714039","-38.641292","WGS84","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal","Área Antrópica, Campinarana, Campo Rupestre, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta Estacional Decidual, Floresta Estacional Perenifólia, Floresta Estacional Semidecidual, Floresta Ombrófila (Floresta Pluvial), Floresta Ombrófila Mista, Manguezal, Restinga, Vegetação Sobre Afloramentos Rochosos","Corticícola, Rupícola, Saxícola, Terrícola","Coxim, Tufo","Nativa","Não endêmica do Brasil","6","8","2011",NA,NA
"7","Herbário Prisco Bezerra","EAC","22774","Angiosperma","Magnoliophyta","Acanthaceae","Avicennia","germinans (L.) L.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Ponte sobre o Rio Ceará na BR 222","-3.73610997200012","-38.6530990600586","WGS84","Amazônia, Caatinga, Mata Atlântica","Manguezal, Restinga, Vegetação Aquática","Aquática, Terrícola","Árvore","Nativa","Não endêmica do Brasil",NA,"2","1995",NA,NA
"8","The New York Botanical Garden","NYBG","573461","Angiosperma","Magnoliophyta","Acanthaceae","Avicennia","germinans (L.) L.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Limite de marés, 2 km","-3.7361","-38.6531","WGS84","Amazônia, Caatinga, Mata Atlântica","Manguezal, Restinga, Vegetação Aquática","Aquática, Terrícola","Árvore","Nativa","Não endêmica do Brasil",NA,"9","1935",NA,NA
"9","Herbário Prisco Bezerra","EAC","61794","Angiosperma","Magnoliophyta","Acanthaceae","Dyschoriste","axillaris Wassh. & J.R.I.Wood.",NA,NA,NA,"Brasil","Ceará","Caucaia","Parque Botânico do Ceará","-3.711667","-38.645611","WGS84",NA,"Restinga",NA,"Subarbusto",NA,NA,"10","8","2018","Flores lilás, coletada na alameda das raposas.; Restinga",NA
"10","Herbário da UFMG","UFMG","152146","Angiosperma","Magnoliophyta","Acanthaceae","Elytraria","imbricata (Vahl) Pers.",NA,NA,"Não Avaliado (NE)","Brasil","Ceará","Caucaia","Boqueirão da Arara, Propriedade da Pyla Pedreira Yiolita","-3.737778","-38.776111","WGS84","Amazônia, Caatinga, Cerrado","Floresta Estacional Decidual em Estágio Médio de Regeneração, Caatinga (stricto sensu), Cerrado (lato sensu), Floresta Estacional Decidual, Floresta Ombrófila (Floresta Pluvial)","Terrícola","Erva, Subarbusto","Nativa","Não endêmica do Brasil",NA,NA,NA,NA,NA
