"genero","richness_by_genre"
"1"," Eucalyptus",1
"2"," Mouriri",6
"3"," Peltaea",2
"4"," Waltheria",12
"5","Acalypha",2
"6","Acanthospermum",1
"7","Acmella",1
"8","Acrostichum",1
"9","Actinostemon",1
"10","Adenocalymma",8
"11","Aechmea",4
"12","Agalinis",1
"13","Agonandra",3
"14","Allamanda",5
"15","Allophylus ",1
"16","Alpinia",1
"17","Alseis",2
"18","Alternanthera",4
"19","Anacardium",1
"20","Andropogon",2
"21","Angelonia",1
"22","Annona",3
"23","Anthurium",1
"24","Aristida",6
"25","Aristolochia",2
"26","Asemeia",2
"27","Aspidosperma",3
"28","Astronium",9
"29","Avicennia",2
"30","Azadirachta",1
"31","Bacopa",12
"32","Barrosoa",1
"33","Begonia",1
"34","Bia",1
"35","Bidens",1
"36","Bixa",3
"37","Blainvillea",6
"38","Blechnum",1
"39","Blutaparon",5
"40","Boerhavia",1
"41","Borreria",26
"42","Bredemeyera",1
"43","Bromelia",2
"44","Brosimum",1
"45","Brunfelsia",2
"46","Bryum",5
"47","Bulbostylis",1
"48","Callisia",2
"49","Callisthene",4
"50","Calotropis",1
"51","Campomanesia",4
"52","Campyloneurum",1
"53","Capparidastrum",1
"54","Capsicum",2
"55","Cardiospermum ",1
"56","Casearia",3
"57","Casuarina",14
"58","Cayaponia",3
"59","Cecropia ",1
"60","Ceiba",1
"61","Cenchrus",1
"62","Centratherum",2
"63","Ceratophyllum",1
"64","Ceratopteris",2
"65","Cereus",1
"66","Cestrum ",1
"67","Chamissoa",1
"68","Chiococca",9
"69","Chomelia",8
"70","Chresta",1
"71","Chrysobalanus",1
"72","Chrysophyllum",3
"73","Cissus",4
"74","Clematicissus ",1
"75","Cnidoscolus",1
"76","Coccoloba",11
"77","Cochlospermum",1
"78","Combretum",13
"79","Commelina",2
"80","Commiphora",4
"81","Comolia",2
"82","Conocarpus",1
"83","Copernicia",3
"84","Corchorus",1
"85","Cordia",9
"86","Cordiera",4
"87","Croton",63
"88","Crumenaria",2
"89","Cryptostegia",4
"90","Curatella",3
"91","Curcuma ",1
"92","Cuspidaria",1
"93","Cynophalla",1
"94","Cyperus",109
"95","Cyphonanthus",1
"96","Dalechampia",3
"97","Daustinia",1
"98","Davilla",2
"99","Diacranthera",1
"100","Dichorisandra",3
"101","Digitaria",4
"102","Dioscorea",2
"103","Diospyros",4
"104","Distimake",2
"105","Ditaxis",1
"106","Dodonaea ",3
"107","Dyschoriste",1
"108","Echinodorus",13
"109","Eichhornia",7
"110","Eleocharis",33
"111","Elephantopus",10
"112","Eleusine",1
"113","Elytraria",2
"114","Emilia",2
"115","Epidendrum",6
"116","Eragrostis",2
"117","Erythroxylum",1
"118","Eugenia",1
"119","Eugenia ",1
"120","Euphorbia",4
"121","Euploca",21
"122","Evolvulus",10
"123","Faramea",3
"124","Ficus",3
"125","Fimbristylis",24
"126","Fridericia",7
"127","Froelichia",3
"128","Fuirena",5
"129","Funastrum",2
"130","Genipa",2
"131","Geophila",1
"132","Goeppertia",5
"133","Goniopteris",1
"134","Gouania",3
"135","Guapira",2
"136","Guarea",1
"137","Guazuma",4
"138","Guettarda",10
"139","Handroanthus",2
"140","Harpochilus",2
"141","Helicteres",8
"142","Heliotropium",2
"143","Herissantia",1
"144","Hexasepalum",17
"145","Hirtella",1
"146","Holeria",1
"147","Hybanthus",1
"148","Hydrocleys",1
"149","Hydrocotyle",4
"150","Hyophila",5
"151","Ibatia",1
"152","Ipomoea",23
"153","Ischaemum",1
"154","Jacaranda",3
"155","Jacquemontia",6
"156","Jacquinia",5
"157","Jatropha",3
"158","Justicia",4
"159","Kalanchoe",2
"160","Laguncularia",1
"161","Lantana",11
"162","Laportea",1
"163","Lasiacis",4
"164","Lastreopsis",1
"165","Lepidaploa",2
"166","Leptochloa",1
"167","Lessingianthus",1
"168","Ludwigia ",22
"169","Luehea",3
"170","Luffa",2
"171","Lundia",1
"172","Lycium",1
"173","Malachra",2
"174","Mandevilla",1
"175","Manihot",4
"176","Manilkara",4
"177","Marsilea",1
"178","Maytemus",6
"179","Megathyrsus",1
"180","Melanthera",1
"181","Melinis",6
"182","Melochia ",8
"183","Mesosetum",2
"184","Microstachys",4
"185","Mikania",3
"186","Mitracarpus",9
"187","Monteverdia",6
"188","Montrichardia",4
"189","Morinda",1
"190","Moringa ",1
"191","Mouriri",1
"192","Myrciaria ",2
"193","Myriopus",4
"194","Myrsine",1
"195","Nymphaea ",20
"196","Nymphoides",5
"197","Octoblepharum",1
"198","Oeceoclades",1
"199","Oldenlandia",3
"200","Operculina",2
"201","Ouratea",13
"202","Oxalis",10
"203","Oxossia",3
"204","Paepalanthus",1
"205","Paspalidium",6
"206","Paspalum",17
"207","Paspalum ",4
"208","Passiflora",11
"209","Paullinia",1
"210","Pavonia",2
"211","Peperomia",1
"212","Philodendron",2
"213","Phoradendron ",3
"214","Phyllanthus",3
"215","Phyllanthus ",1
"216","Physalis",9
"217","Physostemon",1
"218","Pilosocereus",2
"219","Piper",2
"220","Piriqueta",3
"221","Pistia",2
"222","Plumbago",1
"223","Polygala",10
"224","Polygonum",1
"225","Pombalia ",12
"226","Pontederia",2
"227","Portulaca ",9
"228","Pouteria",3
"229","Praxelis",1
"230","Prestonia",1
"231","Pristimera",1
"232","Prockia",1
"233","Pseudogynoxys",3
"234","Psiguria",1
"235","Psychotria",1
"236","Pterolepis",5
"237","Pterygota ",1
"238","Raddia ",1
"239","Randia",9
"240","Rauvolfia",2
"241","Rhizophora",1
"242","Rhynchospora",18
"243","Richardia",2
"244","Rivina",3
"245","Rodriguezia",1
"246","Roupala",1
"247","Rudgea",1
"248","Ruellia",3
"249","Ruprechtia",1
"250","Sacciolepis",2
"251","Salvinia",2
"252","Sapium",1
"253","Sarcomphalus",2
"254","Sauvagesia",1
"255","Schoepfia ",1
"256","Schwenckia",1
"257","Scleria",1
"258","Scoparia",1
"259","Sebastiania",1
"260","Securidaca",1
"261","Selenicereus",1
"262","Serjania",1
"263","Setaria",5
"264","Setaria ",1
"265","Sida",25
"266","Sidastrum",3
"267","Sigmatanthus ",1
"268","Simarouba",1
"269","Solanum ",12
"270","Sorghum",1
"271","Sphagneticola",1
"272","Spondias",3
"273","Sporobolus",5
"274","Stachytarpheta",12
"275","Steirachne.",1
"276","Stemodia",1
"277","Stilpnopappus",4
"278","Streptostachys",3
"279","Syngonanthus ",1
"280","Syzygium",1
"281","Tabernaemontana",1
"282","Taccarum",1
"283","Talisia",4
"284","Tamonea",1
"285","Tanaecium",1
"286","Tarenaya",3
"287","Terminalia",5
"288","Tetracera",3
"289","Tetraulacium",1
"290","Thalia",2
"291","Thevetia",1
"292","Tilesia",3
"293","Tinantia",2
"294","Tocoyena",7
"295","Trema",1
"296","Tribulus",1
"297","Trichilia",1
"298","Trichocentrum",1
"299","Trichogonia",3
"300","Trigonia",2
"301","Triumfetta",4
"302","Turnera ",13
"303","Urochloa",4
"304","Urvillea ",2
"305","Varronia",9
"306","Vriesea",2
"307","Wedelia",4
"308","Wissadula",1
"309","Ximenia",5
"310","Xylosma ",1
"311","Xyris",5
"312","Zanthoxylum ",5
"313",NA,14
